"NUMERO_PRESTAMO","NOMBRE_OPERACION","IDENTIFICADOR_PROCESO","NOMBRE_ADQUISICION","CATEGORIA_PROCESO","NOMBRE_ORGANISMO_EJECUTOR","MONTO_PRESUPUESTADO_PROCESO_ADQUISICION","ESTADO_PROCESO"
"2101",Proyecto de Desarrollo Agricola bajo Riego,HND-S-2101-7800-O,"Diseño y construccion del sistema de riego de Sulaco, Yoro.",Obras,Secretaría de Agricultura y Ganadería (SAG),13520290.63,Adjudicado
"2101",Proyecto de Desarrollo Agricola bajo Riego,HND-S-2101-7891-CI,Asistente Contable UAP(Carlos Francisco Alonzo ),Consultorías Individuales,Secretaría de Agricultura y Ganadería (SAG),16417.82,Adjudicado
"2317",Programa de Emergencia para la Reconstrucción Integral y Resiliente de Infraestructura (PROERI) de la República de Costa Rica,CRI-2025-2317-12512-O,"Ley 7052, Entidad Autorizada COOPENAE, Desarrollador Constructora BH, Proyecto Curre / Construcción de 31 viviendas de familias que se ubican en riesgo inminente",Obras,Ministerio de Vivienda y Asentamientos Humanos (MIVAH),520932.97,Adjudicado
"2101",Proyecto de Desarrollo Agricola bajo Riego,HND-2025-2101-19190-CI,Consultor Prestador de Servicios Ambientales (PSA) Renovación de Licencias Ambientales de San Sebastian  y Lamani,Consultorías Individuales,Secretaría de Agricultura y Ganadería (SAG),10000.00,En Curso
"2221",Libramiento Anillo Periférico-Carretera CA-5 Sur,HND-S-2221-1990-O,Construcción de la carretera: Libramiento Anillo Periférico - CA-5 Sur,Obras,Secretaría de Infraestructura y Transporte (SIT),37692268.39,Adjudicado
"2181GOBERNACIÓN",Programa de inversión y modernización para el sector justicia República de Guatemala,GTM-ODSJ-2181GOBERNACIÓN-2422-O,"Diseño, Construcción y Equipamiento de 1 Centro de Cumplimiento de Condena para Hombres, ubicado Finca Cuyuta, Lote 218, Masagua, Escuintla",Obras,Ministerio de Gobernación (MINGOB),0.00,Fracasado
"2181GOBERNACIÓN",Programa de inversión y modernización para el sector justicia República de Guatemala,GTM-ODSJ-2181GOBERNACIÓN-2467-CI,Consultor Asistente Financiero,Consultorías Individuales,Ministerio de Gobernación (MINGOB),123684.26,Contrato Terminado
"2147",Programa Integral de Seguridad de Belice (BISP - Belize Integral Security Programme),BLZ-2025-2147-13692-O,Design Build and Equipment of Fairweather Camp Kitchen and Residual Water Treatment System,Obras,Ministry of Economic Development (MED),1026301.00,Previsto
"2147",Programa Integral de Seguridad de Belice (BISP - Belize Integral Security Programme),BLZ-MDFDEEI-2147-8914-CF,"Supervision Services for the Design Build and Equipment Works at the Price Barracks (Two accommodation buildings, A new kitchen facility; and a residual water system upgrade)",Consultorías Firmas,Ministry of Economic Development (MED),110156.25,Adjudicado
"2263",Programa Multisectorial para la Reactivación Económica y la Protección Social (NIC-Solidaria),NIC-2025-2263-19801-O,Construcción de la sub-sede del Centro de Mejoramiento Genético y Banco de Semillas Forestales en Nueva Segovia,Obras,Ministerio de Hacienda y Crédito Público (MHCP),273227.35,Adjudicado
